Module	Module Description	Completeness	Pearson's r	Lower 95% CI	Upper 95% CI	Regression Coefficient	FDR adjusted p-value
M00622	M00622	Nicotinate degradation, nicotinate => fumarate	1	-0.733944878757128	-0.920233121613251	-0.276514551051519	-0.00164206897993584	0.0177784077471818
M00754	M00754	Nisin resistance, phage shock protein homolog LiaH	1	-0.81620927416273	-0.946668713827476	-0.455828660686695	-0.000683126001069228	0.00634215784711069
M00664	M00664	Nodulation	1	-0.693579617852112	-0.906608805436485	-0.198816011079733	-0.000171280137186875	0.026944788565215
M00498	M00498	NtrY-NtrX (nitrogen regulation) two-component regulatory system	1	-0.865708593844163	-0.961771683287541	-0.579938952284152	-0.0189243294930539	0.0030813161404091
M00361	M00361	Nucleotide sugar biosynthesis, eukaryotes	0.857142857142857	-0.777459874899939	-0.934431655684454	-0.367556736605241	-0.00937190876310581	0.0104349465776659
M00549	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	0.833333333333333	-0.837272763502226	-0.953166334816677	-0.506982344662881	-0.0151547032399535	0.00458337135088856
M00362	M00362	Nucleotide sugar biosynthesis, prokaryotes	1	-0.690915133083732	-0.905693570098463	-0.193897055238709	-0.00786483377954563	0.0276002837080361
M00439	M00439	Oligopeptide transport system	1	-0.7533073321292	-0.926612047866993	-0.316035570764515	-0.010315986475699	0.0139961838420873
M00028	M00028	Ornithine biosynthesis, glutamate => ornithine	0.714285714285714	-0.890812170409873	-0.969214153660424	-0.648395142845339	-0.0080002460681967	0.00212770030508083
M00763	M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	0.833333333333333	0.833406887298062	0.497416268065403	0.951981759341892	0.0055196519429262	0.00485467752138263
M00119	M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	1	-0.812621675194634	-0.945551341575773	-0.447346989050209	-0.007801133470495	0.00666642577544227
M00654	M00654	ParS-ParR (polymyxin-adaptive resistance) two-component regulatory system	1	-0.740761788095731	-0.922490286580758	-0.290254391739377	-6.56318781592714e-05	0.0163203489748872
M00672	M00672	Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin	1	-0.791400456263789	-0.938877194400685	-0.398485271303883	-0.000107032339387915	0.00854919001960868
M00004	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	0.866666666666667	-0.801807433926477	-0.942164136885199	-0.422171789121855	-0.00911379279782344	0.00763720669090866
M00006	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0.666666666666667	-0.863142971826198	-0.961002974761605	-0.573162781480523	-0.0145422914949644	0.00324772330647732
M00575	M00575	Pertussis pathogenicity signature 2, T1SS	1	-0.731283089809676	-0.919348392502746	-0.271199865838602	-0.00387313859676984	0.0181867174914145
M00503	M00503	PgtB-PgtA (phosphoglycerate transport) two-component regulatory system	1	-0.82173734402042	-0.9483843328572	-0.4690273165239	-0.000152381522979209	0.00570877773296422
M00024	M00024	Phenylalanine biosynthesis, chorismate => phenylalanine	0.857142857142857	-0.768169252318004	-0.931441536907861	-0.347436068592096	-0.00147177347890268	0.0118836705287892
M00579	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	1	-0.764620377869335	-0.930293508241523	-0.339851202023703	-0.00448754094518901	0.0123327487600206
M00222	M00222	Phosphate transport system	1	-0.715505280785498	-0.914064800148106	-0.240262613822472	-0.00822410513422904	0.0207045159711932
M00093	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	1	-0.767705516514909	-0.93129170696186	-0.346441807766906	-0.010199539930461	0.0118836705287892
M00210	M00210	Phospholipid transport system	1	-0.849694643782026	-0.956948710313199	-0.538280964645244	-0.0246883959448026	0.00394165357533587
M00532	M00532	Photorespiration	0.8	-0.773239913789471	-0.933076229658524	-0.358369768659901	-0.0125619934255778	0.0112425731665527
M00163	M00163	Photosystem I	1	0.656931600307129	0.133277469553798	0.893842125837239	5.77176771691789e-05	0.0405818348029664
M00161	M00161	Photosystem II	1	0.680479334227653	0.174868985755291	0.902089551315022	0.000144945363924119	0.0312859159106965
M00501	M00501	PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system	1	-0.901238386165702	-0.97226367708846	-0.678027752870521	-0.0170838233881606	0.00162470248433897
M00572	M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	0.8	-0.82618082180669	-0.949757998761079	-0.479751887913167	-0.00835058803315477	0.00536177400611369
M00511	M00511	PleC-PleD (cell fate control) two-component regulatory system	1	-0.742393036357494	-0.923028577169953	-0.293570033325096	-0.00858505728314982	0.0160822911646335
M00134	M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	1	-0.894940525087892	-0.970424523479905	-0.660041254016697	-0.00973483534820581	0.00189829732550892
M00015	M00015	Proline biosynthesis, glutamate => proline	0.75	-0.850387320640404	-0.957158558757997	-0.540051916353307	-0.013871097490347	0.00394165357533587
M00741	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	0.846153846153846	-0.728057018659761	-0.918273550962454	-0.264795888814726	-0.00657608880884733	0.0184764798277133
M00275	M00275	PTS system, cellobiose-specific II component	1	0.760323685102117	0.330741410975162	0.928899210037186	0.00114506374085022	0.0129759159610181
M00306	M00306	PTS system, fructose-specific II-like component	1	-0.762788791075912	-0.929699734039699	-0.335958124571282	-0.000715924160221978	0.0125744152791052
M00277	M00277	PTS system, N-acetylgalactosamine-specific II component	1	-0.786481482732823	-0.937314169316313	-0.387469061809546	-3.93531578668497e-05	0.00927965421004857
M00546	M00546	Purine degradation, xanthine => urea	0.95	-0.805436386047351	-0.943303991995939	-0.430555089255959	-0.00525882934640277	0.00725945967490965
M00247	M00247	Putative ABC transport system	1	-0.872226984755798	-0.96371793030902	-0.597334656135842	-0.00223946015278889	0.00291297237779909
M00258	M00258	Putative ABC transport system	1	-0.906003878085881	-0.973649522212738	-0.691817865877137	-0.366781806882357	0.00142627756448889
M00589	M00589	Putative lysine transport system	1	-0.76776080206934	-0.931309572262356	-0.346560291666541	-0.000113059329205973	0.0118836705287892
M00236	M00236	Putative polar amino acid transport system	1	-0.707726012264384	-0.911434671993828	-0.225356232671737	-0.0111727805853634	0.0224907272585302
M00221	M00221	Putative simple sugar transport system	1	-0.872859545747929	-0.963906282582702	-0.599036660730576	-0.0339528230235577	0.00290937927347661
M00200	M00200	Putative sorbitol/mannitol transport system	1	-0.758062299777101	-0.928163454628882	-0.325978793274049	-0.00320303362227301	0.0133044568590473
M00193	M00193	Putative spermidine/putrescine transport system	1	-0.815954729018812	-0.946589537993204	-0.45522470937268	-0.0117592272100611	0.00634215784711069
M00591	M00591	Putative xylitol transport system	1	-0.713969256866361	-0.913546798763348	-0.237301468183723	-0.000147146899515343	0.0208802538710447
M00244	M00244	Putative zinc/manganese transport system	1	-0.705953020971157	-0.910832894675098	-0.221990193836093	-0.00592739221819761	0.0229413478589478
M00300	M00300	Putrescine transport system	1	-0.780698504095304	-0.935468808854314	-0.374661997062691	-0.00633927648406494	0.0101115635762703
M00124	M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	1	-0.759143832076887	-0.928515503673082	-0.328253834313639	-0.00661684216592545	0.0131625343054327
M00046	M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	0.666666666666667	-0.876722183629247	-0.96505445326272	-0.609483658131298	-0.0119685726591036	0.00270438195992796
M00052	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	0.571428571428571	0.69155190362531	0.195070341187064	0.905912479367828	0.00391618185628625	0.0274469259376513
M00307	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	1	-0.830726449216442	-0.951158334362068	-0.49083117113344	-0.0323933915590579	0.00507278852766626
M00453	M00453	QseC-QseB (quorum sensing) two-component regulatory system	1	-0.9123288600472	-0.975481196169402	-0.710365268660019	-0.00100330915202269	0.00131661068580045
M00339	M00339	RaxAB-RaxC type I secretion system	1	-0.779848684853233	-0.935196916666547	-0.372792943511427	-0.00258637219067076	0.0101812912533011
M00474	M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	1	-0.764101961962737	-0.930125533277777	-0.33874781877236	-0.000963731337261736	0.0123907289503233
M00377	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	1	-0.812643024225874	-0.945558000098747	-0.447397268072711	-0.000830256229039703	0.00666642577544227
M00167	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	0.625	-0.733419177308823	-0.920058538987978	-0.275462682403174	-0.0064672772576773	0.0178579089451889
M00166	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	0.857142857142857	0.805846651173912	0.43150693655652	0.943432652155627	0.00415899069356601	0.00725945967490965
M00220	M00220	Rhamnose transport system	1	-0.833426243918251	-0.951987699422829	-0.497463963174744	-0.00549997260542319	0.00485467752138263
M00212	M00212	Ribose transport system	1	-0.800301939012379	-0.941690305562723	-0.418712874565988	-0.038118540446823	0.007684221106038
M00179	M00179	Ribosome, archaea	0.985074626865672	0.908452313869087	0.698964296465974	0.974359610291473	0.0050883862336256	0.00131800593792602
M00177	M00177	Ribosome, eukaryotes	0.670886075949367	0.930294486468077	0.764623397567577	0.980636642014115	0.00279159817762963	0.00116735699035557
M00394	M00394	RNA degradosome	1	-0.879588064574799	-0.965904151490956	-0.617295241181464	-0.0280199112353008	0.00259721506192751
M00184	M00184	RNA polymerase, archaea	0.875	0.910374353660485	0.7046037623402	0.97491611622468	0.00468294255881373	0.00131661068580045
M00183	M00183	RNA polymerase, bacteria	1	-0.92221241652261	-0.978326000196817	-0.739920562108733	-0.00786121344956667	0.00131661068580045
M00517	M00517	RpfC-RpfG (cell-to-cell signaling) two-component regulatory system	1	-0.726208152020012	-0.917656291199593	-0.261144086971569	-0.00133628260720426	0.0185869551190479
M00446	M00446	RstB-RstA two-component regulatory system	1	-0.90073076709304	-0.972115762694708	-0.676568035523102	-0.000744077915463841	0.00162470248433897
M00326	M00326	RTX toxin transport system	1	-0.732410077679054	-0.91972321460093	-0.273446657195169	-4.83794572125545e-05	0.0180844670163128
M00468	M00468	SaeS-SaeR (staphylococcal virulence regulation) two-component regulatory system	1	-0.738301539717249	-0.921677097819824	-0.285274117042247	-0.000251555781479968	0.0168771972698967
M00467	M00467	SasA-RpaAB (circadian timing mediating) two-component regulatory system	1	-0.846176931395796	-0.955881275885216	-0.529329555416886	-0.000616127227736737	0.00422211392796643
M00335	M00335	Sec (secretion) system	1	-0.772695192242922	-0.932900936942269	-0.35718972179854	-0.00949244481471837	0.0113012640199073
M00633	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	0.8	0.749605334900861	0.308360178383697	0.925400095611275	0.0021646556111522	0.0146160849758136
M00020	M00020	Serine biosynthesis, glycerate-3P => serine	1	-0.783061643065696	-0.936223912507532	-0.379876782452956	-0.0125870805934874	0.00973832674037081
M00022	M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	0.8	-0.783315545494093	-0.93630495894756	-0.380438602717404	-0.00707809747595546	0.00973832674037081
M00253	M00253	Sodium transport system	1	-0.756392947011593	-0.927619466239192	-0.322477047665514	-0.00488925867779321	0.0135509117836435
M00299	M00299	Spermidine/putrescine transport system	1	-0.752040381260731	-0.926197680977854	-0.313402329098295	-0.0111473372296883	0.0141172822631012
M00100	M00100	Sphingosine degradation	1	-0.727786729113559	-0.918183370177378	-0.264261193971933	-0.000217983718089021	0.0184764798277133
M00663	M00663	SsrA-SsrB two-component regulatory system	1	-0.724596566054996	-0.917117494904418	-0.257971773494618	-0.000195842978447674	0.0189087231305064
M00766	M00766	Streptomycin resistance, deactivating enzyme StrAB	1	-0.779169762890701	-0.93497956987242	-0.37130212331048	-0.00245854673403953	0.0101861766742537
M00149	M00149	Succinate dehydrogenase, prokaryotes	1	-0.767629440958096	-0.931267122170703	-0.346278790246242	-0.00521208685544841	0.0118836705287892
M00457	M00457	TctE-TctD (tricarboxylic acid transport) two-component regulatory system	1	-0.869805828813623	-0.962996160664557	-0.59084295270968	-0.00425952028433667	0.00292598702332845
M00251	M00251	Teichoic acid transport system	1	-0.881182011429313	-0.966375933674219	-0.621662387967139	-0.00020070180411368	0.00259721506192751
M00704	M00704	Tetracycline resistance, efflux pump Tet38	0.5	-0.741981395277777	-0.922892807679755	-0.292732320203255	-0.000306432351896096	0.0161238918340008
M00668	M00668	Tetracycline resistance, TetA transporter	0.5	-0.803329625847883	-0.942642653559557	-0.42568034046858	-0.0134377665680222	0.00753471054427907
M00126	M00126	Tetrahydrofolate biosynthesis, GTP => THF	0.565217391304348	-0.862228399898978	-0.960728585711679	-0.570756817892043	-0.00651005959509231	0.0032934944488029
M00127	M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	0.7	-0.794089642295624	-0.939729131876044	-0.404556110270322	-0.00433674627245547	0.00837759617359335
M00595	M00595	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	1	-0.81078768493052	-0.94497892496881	-0.44303636687923	-0.00315477051694401	0.00678840521326947
M00538	M00538	Toluene degradation, toluene => benzoate	1	-0.761622112644711	-0.929321060741604	-0.333485904626005	-0.00125451063223246	0.0127245577885945
M00455	M00455	TorS-TorR (TMAO respiration) two-component regulatory system	1	-0.820222630843853	-0.947914982595976	-0.465395094119233	-0.000565880216168753	0.00583425127264561
M00565	M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	1	-0.909436644957955	-0.974644713539847	-0.701849175799671	-0.0150293580003342	0.00131661068580045
M00604	M00604	Trehalose transport system	1	0.860317448361838	0.565745781377274	0.960154641356996	0.000474531005235333	0.00339728754006048
M00204	M00204	Trehalose/maltose transport system	1	-0.822950108564956	-0.948759721540369	-0.471944104313837	-0.00201256399355549	0.00565562249830101
M00023	M00023	Tryptophan biosynthesis, chorismate => tryptophan	0.6875	-0.72769479798299	-0.918152693307545	-0.264079397982579	-0.00262381715095907	0.0184764798277133
M00514	M00514	TtrS-TtrR (tetrathionate respiration) two-component regulatory system	1	-0.667707858796949	-0.897636433398587	-0.152085006300687	-0.00044488773983665	0.036025541348051
M00778	M00778	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	0.545454545454545	-0.714474593999961	-0.913717287739859	-0.238274679941686	-0.000445986327771961	0.0208802538710447
M00332	M00332	Type III secretion system	1	-0.710533098140338	-0.912385656113849	-0.230709162085851	-0.000320864480918911	0.0216238458938268
M00025	M00025	Tyrosine biosynthesis, chorismate => tyrosine	0.857142857142857	-0.775428401353662	-0.933779725783538	-0.363124155759535	-0.00191850332652259	0.01081608598176
M00040	M00040	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine	0.6	-0.807033996401406	-0.943804773227768	-0.434266375499013	-0.00289102616140322	0.00718639671509399
M00044	M00044	Tyrosine degradation, tyrosine => homogentisate	0.833333333333333	-0.805214966025237	-0.94323453691184	-0.430041723654878	-0.00795151489319466	0.00725945967490965
M00473	M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	1	-0.829784678447042	-0.950868616945269	-0.488526682618146	-0.0066387931765454	0.00515414972799983
M00761	M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => Undecaprenyl phosphate alpha-L-Ara4N	1	-0.716304870946648	-0.914334193978386	-0.241807571542524	-0.00140128360050043	0.0206833997194334
M00323	M00323	Urea transport system	1	-0.735236858658443	-0.920661866428251	-0.279104320703493	-0.00584486210106757	0.0175484428487335
M00159	M00159	V/A-type ATPase, prokaryotes	1	0.892524467631487	0.653211811605069	0.96971663306451	0.00543924054615896	0.00204230083024713
M00019	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	1	-0.713893176807527	-0.913521125048347	-0.237155030985325	-0.00887011498645091	0.0208802538710447
M00644	M00644	Vanadium resistance, efflux pump MexGHI-OpmD	1	-0.800623042975367	-0.941791415154326	-0.419449691710988	-0.00015628538660136	0.00768192350178836
M00652	M00652	Vancomycin resistance, D-Ala-D-Ser type	0.6	-0.694899090872139	-0.907061296076955	-0.201261179182438	-0.000151982010607748	0.0265302807101225
M00658	M00658	VanS-VanR (actinomycete type vancomycin resistance) two-component regulatory system	1	-0.793565587893328	-0.93956325253097	-0.403370357740673	-0.00322070241698787	0.00840971970549822
M00656	M00656	VanS-VanR (VanB type vancomycin resistance) two-component regulatory system	1	-0.785274108175102	-0.936929591005142	-0.38478241153886	-0.000195334180912323	0.00946423641718633
M00459	M00459	VicK-VicR (cell wall metabolism) two-component regulatory system	1	-0.811587732960508	-0.945228733368409	-0.444914716115607	-0.00397756888876997	0.00677441953500173
M00480	M00480	VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system	1	-0.67328155522923	-0.89958564283552	-0.161961396326337	-0.000143352843884184	0.0341438296343009
M00509	M00509	WspE-WspRF (chemosensory) two-component regulatory system	1	-0.88336869468078	-0.967022224268684	-0.62767989842324	-0.0025414846251174	0.00259721506192751
M00660	M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	1	-0.715837028281498	-0.914176592090126	-0.240903319913959	-0.000200575943834647	0.0207045159711932
M00519	M00519	YesM-YesN two-component regulatory system	1	-0.793233739662385	-0.939458176898432	-0.402620177848198	-0.00176972509267146	0.00840971970549822
