Module ID	Module Name	Module Type	Definition
M00082	"Fatty acid biosynthesis, initiation"	Pathway	"(K11262,(K02160+K01961,K11263)+(K01962+K01963,K18472)) (K00665,K00667+K00668,K11533,(K00645 (K00648,K18473)))"
M00771	FitF-FitH (insecticidal toxin regulation) two-component regulatory system	FuncSet	K19616 K19617
M00524	FixL-FixJ (nitrogen fixation) two-component regulatory system	FuncSet	K14986 K14987
M00137	"Flavanone biosynthesis, phenylalanine => naringenin"	Pathway	K10775 K00487 K01904 K00660 K01859
M00138	"Flavonoid biosynthesis, naringenin => pelargonidin"	Pathway	K00475 K13082 K05277
M00515	FlrB-FlrC (polar flagellar synthesis) two-component regulatory system	FuncSet	K10942 K10943
M00713	"Fluoroquinolone resistance, efflux pump LfrA"	Signature	K18937 K08167
M00729	"Fluoroquinolone resistance, gyrase-protecting protein Qnr"	Signature	K03553 K01356 K18555
M00224	Fluoroquinolone transport system	Complex	K16905+K16906+K16907
M00345	"Formaldehyde assimilation, ribulose monophosphate pathway"	Pathway	"((K08093,K13812) K08094,K13831) (K00850,K16370) K01624"
M00346	"Formaldehyde assimilation, serine pathway"	Pathway	K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691
M00344	"Formaldehyde assimilation, xylulose monophosphate pathway"	Pathway	K17100 K00863 K01624 K03841
M00218	Fructose transport system	Complex	K10552+K10553+K10554
M00150	"Fumarate reductase, prokaryotes"	Complex	K00244+K00245+K00246+K00247
M00786	"Fumitremorgin alkaloid biosynthesis, tryptophan/proline => fumitremorgin C/A"	Pathway	K18281 K14132 K17475 K18280 K17827 K17826 K14134 K17825 K18279
M00027	GABA (gamma-Aminobutyrate) shunt	Pathway	"K01580 (K13524,K07250,K00823,K16871) (K00135,K00139)"
M00135	"GABA biosynthesis, eukaryotes, putrescine => GABA"	Pathway	"K00657 K00274 (K00128,K14085,K00149) --"
M00136	"GABA biosynthesis, prokaryotes, putrescine => GABA"	Pathway	K09470 K09471 K09472 K09473
M00632	"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"	Pathway	K01785 K00849 K00965 K01784
M00669	gamma-Hexachlorocyclohexane transport system	Complex	K02067+K02066+K02065+K18480
M00232	General L-amino acid transport system	Complex	K09969+K09970+K09971+K09972
M00286	GINS complex	Complex	K10732+K10733+K10734+K10735
M00518	GlnK-GlnL (glutamine utilization) two-component regulatory system	FuncSet	K07717 K07719
M00497	GlnL-GlnG (nitrogen regulation) two-component regulatory system	FuncSet	K07708 K07712
M00502	GlrK-GlrR (amino sugar metabolism) two-component regulatory system	FuncSet	K07711 K07715
M00003	"Gluconeogenesis, oxaloacetate => fructose-6P"	Pathway	"(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927  (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"
M00203	Glucose/arabinose transport system	Complex	K10196+K10197+K10198-K10199
M00605	Glucose/mannose transport system	Complex	K17315+K17316+K17317+K10112
M00370	"Glucosinolate biosynthesis, tryptophan => glucobrassicin"	Pathway	"(K11812,K11813) K11818 K11819 K11820 K11821"
M00014	Glucuronate pathway (uronate pathway)	Pathway	"K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854"
M00233	Glutamate transport system	Complex	K10005+K10006+K10007+K10008
M00230	Glutamate/aspartate transport system	Complex	K10001+K10002+K10003+K10004
M00227	Glutamine transport system	Complex	K10036+K10037+K10038
M00118	"Glutathione biosynthesis, glutamate => glutathione"	Pathway	"(K11204+K11205,K01919) K01920"
M00348	Glutathione transport system	Complex	K13889+K13890+K13891+K13892
M00607	Glycerol transport system	Complex	K17321+K17322+K17323+K17324+K17325
M00208	Glycine betaine/proline transport system	Complex	K02002+K02001+K02000
M00001	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	Pathway	"(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"
M00002	"Glycolysis, core module involving three-carbon compounds"	Pathway	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"
M00058	"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone"	Pathway	"K00746 (K13499,K00747,K03419)"
M00059	"Glycosaminoglycan biosynthesis, heparan sulfate backbone"	Pathway	"(K02369,K02370) (K02366,K02367) (K02368,K02370) (K02576,K02577,K02578,K02579) K01793"
M00057	"Glycosaminoglycan biosynthesis, linkage tetrasaccharide"	Pathway	K00771 K00733 K00734 K10158
M00069	"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3"	Pathway	"K03370 (K03371,K03369)"
M00068	"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"	Pathway	K01988 K00719
M00070	"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer"	Pathway	"K03766 (K07819,K07820,K03877)"
M00071	"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer"	Pathway	"K03766 (K07966,K07967,K07968,K07969)"
M00012	Glyoxylate cycle	Pathway	"K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)"
M00065	"GPI-anchor biosynthesis, core oligosaccharide"	Pathway	K03857 K03434 K05283 K05284 K05285 K07542 K05286 K05287
M00733	GraS-GraR (cationic antimicrobial peptide transport) two-component regulatory system	FuncSet	K19077 K19078
M00050	"Guanine ribonucleotide biosynthesis IMP => GDP,GTP"	Pathway	"K00088 K01951 K00942 (K00940,K00873,K12406)"
M00425	H/ACA ribonucleoprotein complex	Complex	K11128+K11129+K11130+K11131
M00678	Hedgehog signaling	Pathway	"(K06224,K11989,K11990,K11988) K06225 K06226 (K06227, K18806)+K06228+K06229 (K16797,K16798,K06230,K16799)"
M00564	"Helicobacter pylori pathogenicity signature, cagA pathogenicity island"	Signature	K15842 K12086 -K12087 K12088 K12089 K12090 K03196 K12091 -K12092 K12093 K12094 K12095 K12096 K12097 K12098 -K12099 -K12100 K12101 K12102 K12103 K12104 K12105 K12106 K12107 K12108 K12109 K12110
M00121	"Heme biosynthesis, glutamate => protoheme/siroheme"	Pathway	"(K01885,K14163) K02492 K01845 K01698 K01749 (K01719,K13542,K13543)  K01599 (K00228,K02495) (K00230,K00231) K01772  (K02302,(K00589,K02303,K02496,K13542,K13543)+K02304+K03794)"
M00259	Heme transport system	Complex	K02195+K02194+K02193
M00257	Hemin transport system	Complex	K09813+K09814
M00328	Hemophore/metalloprotease transport system	Complex	K12536+K12537+K12538
M00078	Heparan sulfate degradation	Pathway	"(K07964,K07965) K01136 K01217 K01565 K10532 K01205 -- K01195 K01137"
M00683	Hippo signaling	Pathway	"((K16683,K16821,K16822)+K16684+K16685) (K04412+K16686) (K08791+K06685) ((K16687,K16820)+K09448)"
M00026	"Histidine biosynthesis, PRPP => histidine"	Pathway	"(K00765-K02502) (K01523 K01496,K11755,K14152) K01814 (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)"
M00045	"Histidine degradation, histidine => N-formiminoglutamate => glutamate"	Pathway	K01745 K01712 K01468 K01479
M00226	Histidine transport system	Complex	K10014+K10015+K10016+K10017
M00662	Hk1-Rrp1 (glycerol uptake and utilization) two-component regulatory system	FuncSet	K02489 K18444
M00290	Holo-TFIIH complex	Complex	K03141+K03142+K03143+K03144+K10843+K10844+K10845+K02202+K06634+K10842
M00533	"Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate"	Pathway	"K00455 (K00151,K10219) K01826 K05921"
M00403	HRD1/SEL1 ERAD complex	Complex	"K10601+K14026+(K10088,K14008)+K14027+K11519+K13989+K14025+K13525+K14015+K14016"
M00772	HupT-HupR (hydrogenase synthesis regulation) two-component regulatory system	FuncSet	K19661 K19641
M00499	HydH-HydG (metal tolerance) two-component regulatory system	FuncSet	K07709 K07713
M00375	Hydroxypropionate-hydroxybutylate cycle	Pathway	"K01964+K15037+K15036 K15017 K15039 K15018 K15019 K15020 K05606 K01848+K01849 (K15038,K15017) K14465 (K14466,K18861) K14534 K15016 K00626"
M00719	Ihk-Irr (virulence regulation) two-component regulatory system	FuncSet	K18986 K18987
M00745	"Imipenem resistance, repression of porin OprD"	Signature	"(K18072 K18073),(K07644 K07665),K18297 K18093"
M00337	Immunoproteasome	Complex	K02725+K02726+K02727+K02728+K02729+K02730+K02731+K02732+K02734+K02735+K02736+K02741+K02733+K02740+K06696+K06697
M00620	"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"	Pathway	K00169+K00170+K00171+K00172 K01959+K01960 K00024 K01677+K01678 K18209+K18210 K01902+K01903 K00174+K00175+K00176+K00177
M00048	"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP"	Pathway	"K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787) K01952 (K01933,K11787,K11788) (K01587,K11808,K01589 K01588) (K01923,K01587,K13713) K01756 (K00602,K01492,K06863 K11176)"
M00132	"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate"	Pathway	K00913 K00915 K10572
M00131	"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol"	Pathway	"K01106 (K01107,K15422) K01109 (K01092,K15759,K10047,K18649)"
M00130	"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4"	Pathway	"(K00888,K13711) (K00889,K13712) (K01116,K05857,K05858,K05859,K05860,K05861) K00911"
M00592	Inositol transport system	Complex	K17208+K17209+K17210
M00593	Inositol transport system	Complex	K17213+K17214+K17215
M00599	Inositol-phosphate transport system	Complex	K17237+K17238+K17239+K17240
M00240	Iron complex transport system	Complex	K02016+K02015+K02013
M00190	Iron(III) transport system	Complex	K02012+K02011+K02010
M00318	Iron/zinc/copper transport system	Complex	K11704+K11705+K11706
M00535	"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate"	Pathway	K09011 K01703+K01704 K00052
M00570	"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine"	Pathway	"(K17989,K01754) K01652+(K01653,K11258) K00053 K01687 K00826"
M00684	JAK-STAT signaling	Pathway	"(K11217,K04447,K11218,K11219) (K11220,K11221,K04692,K11222,K11223,K11224,K11225) (K04694,K04695,K04696,K04701,K04697,K04698,K04699)"
M00113	Jasmonic acid biosynthesis	Pathway	"K00454 K01723 K10525 K05894 K10526 K00232 K10527 (K00632,K07513) --"
M00454	KdpD-KdpE (potassium transport) two-component regulatory system	FuncSet	K07646 K07667
M00079	Keratan sulfate degradation	Pathway	#NULL!
M00088	"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"	Pathway	K00626 K01641 K01640  K00019  K01574
M00485	KinABCDE-Spo0FA (sporulation control) two-component regulatory system	FuncSet	K02491 K07697 K07698 K13532 K13533 K02490 K07699
M00505	KinB-AlgB (alginate production) two-component regulatory system	FuncSet	K11383 K11384
M00213	L-Arabinose transport system	Complex	K10537+K10538+K10539
M00199	L-Arabinose/lactose transport system	Complex	K10188+K10189+K10190-K10191
M00585	L-Cystine transport system	Complex	K16956+K16957+K16958+K16959+K16960
M00066	Lactosylceramide biosynthesis	Pathway	K00720 K07553
M00432	"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate"	Pathway	"K01649 (K01702,K01703+K01704) K00052"
M00036	"Leucine degradation, leucine => acetoacetate + acetyl-CoA"	Pathway	"K00826 ((K00166+K00167,K11381)+K09699+K00382) (K00253,K00249) (K01968+K01969) (K05607,K13766) K01640"
M00481	LiaS-LiaR (cell wall stress response) two-component regulatory system	FuncSet	K11617 K11618
M00715	"Lincosamide resistance, efflux pump LmrB"	Signature	K18939 K18926
M00252	Lipooligosaccharide transport system	Complex	K09694+K09695
M00080	"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen"	Pathway	K02527 K02841 K02843 K02850 K02848 K02849 K02844 K02840 K03278 K03279 K03280 K02847
M00060	"Lipopolysaccharide biosynthesis, KDO2-lipid A"	Pathway	"K00677 (K02535,K16363) K02536 K03269 K00748 K00912 K02527 K02517 K02560"
M00320	Lipopolysaccharide export system	Complex	K07091+K11720+K06861
M00250	Lipopolysaccharide transport system	Complex	K09690+K09691
M00255	Lipoprotein-releasing system	Complex	K09808+K09810
M00397	Lsm 1-7 complex	Complex	K12620+K12621+K12622+K12623+K12624+K12625+K12626
M00396	Lsm 2-8 complex	Complex	K12621+K12622+K12623+K12624+K12625+K12626+K12627
M00513	LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system	FuncSet	K10909 K10916 K10911 K10912
M00433	"Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate"	Pathway	"K01655 (K17450 K01705,K16792+K16793) K05824"
M00030	"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	Pathway	"K01655 K17450 K01705 K05824 (K00825,K00838) (K00143,K14085) K00293 K00290"
M00525	"Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine"	Pathway	K00928 K00133 K01714 K00215 K05822 K00841 K05823 K01778 K01586
M00527	"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine"	Pathway	"(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K10206 K01778 (K01586,K12526)"
M00526	"Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine"	Pathway	"(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K03340 (K01586,K12526)"
M00031	"Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	Pathway	K05826 K05827 K05828 K05829 K05830 K05831
M00016	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	Pathway	"(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)"
M00032	"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	Pathway	"((K00290,K00291) (K00292,K00293),K14157) (K00143,K14085) K00825 K00164 K00658 K00252 (K01825,K01782,K07514,(K01692,K07515,K07511) K00022)"
M00225	Lysine/arginine/ornithine transport system	Complex	K10013+K10015+K10016+K10017
M00492	LytS-LytR two-component regulatory system	FuncSet	K07704 K07705
M00709	"Macrolide resistance, MacAB-TolC transporter"	Signature	K07637 K07660 K05685+K13888+K12340
M00490	MalK-MalR (malate transport) two-component regulatory system	FuncSet	K11614 K11615
M00013	"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	Pathway	"K00249 (K07511,K07514,K07515) K05605 -- K00140"
M00194	Maltose/maltodextrin transport system	Complex	"K10108+K10109+K10110+(K10111,K10112)"
M00316	Manganese transport system	Complex	K11601+K11602+K11603
M00243	Manganese/iron transport system	Complex	K09818+K09819+K09820
M00317	Manganese/iron transport system	Complex	K11604+K11605+K11606+K11607
M00319	Manganese/zinc/iron transport system	Complex	K11707+K11708+K11709+K11710
M00301	Mannopine transport system	Complex	K11077+K11078+K11079+K11080
M00465	ManS-ManR (manganese homeostasis) two-component regulatory system	FuncSet	K11520 K11521
M00687	MAPK (ERK1/2) signaling	Pathway	"(K04366,K08845,K04365,K04367) (K04368,K04369) K04371"
M00690	MAPK (ERK5) signaling	Pathway	"(K04420,K04421) K04463 K04464"
M00688	MAPK (JNK) signaling	Pathway	"(K04416,K04420,K04421,K04428,K04429,K04423,K04415,K04426,K04425,K04427,K04417,K04418,K04419,K17534) (K04430, K04431) K04440"
M00689	MAPK (p38) signaling	Pathway	"(K04416,K04420,K04421,K04428,K04429,K04423,K04415,K04426,K04425,K04427,K04417,K04418,K04419,K17534) (K04432,K04433) K04441"
M00670	Mce transport system	Complex	K02067+K02066+K02065+K18481
M00285	MCM complex	Complex	K02540+K02541+K02212+K02209+K02542+K02210
M00037	"Melatonin biosynthesis, tryptophan => serotonin => melatonin"	Pathway	K00502 K01593 K00669 K00543
M00116	"Menaquinone biosynthesis, chorismate => menaquinone"	Pathway	"(K01851,K02552,K02361) K02551 K08680 K02549 K01911 K01661 (K12073,K19222) K02548 K03183"
M00174	"Methane oxidation, methanotroph, methane => formaldehyde"	Pathway	"((K10944+K10945+K10946),(K16157+K16158+K16159+K16160+K16161+K16162)) ((K14028-K14029),K17066)"
M00617	Methanogen	Signature	"M00567,M00357,M00356,M00563"
M00357	"Methanogenesis, acetate => methane"	Pathway	"(K00925 (K00625,K13788),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K03388+K03389+K03390)"
M00567	"Methanogenesis, CO2 => methane"	Pathway	"(K00200+K00201+K00202+K00203-K11261+(K00205,K11260,K00204)) K00672 K01499 (K00319,K13942) K00320 (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K03388+K03389+K03390)"
M00356	"Methanogenesis, methanol => methane"	Pathway	K14080+K04480+K14081 K00399+K00401+K00402 K03388+K03389+K03390
M00563	"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane"	Pathway	"K14082 ((K16177-K16176),(K16179-K16178),(K14084-K14083)) K00399+K00401+K00402 K03388+K03389+K03390"
M00625	Methicillin resistance	Signature	K02547 K02546 K02545
M00017	"Methionine biosynthesis, apartate => homoserine => methionine"	Pathway	"(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) K00651 K01739 K01760 (K00548,K00549)"
M00035	Methionine degradation	Pathway	"K00789 (K00558,K17398,K17399) K01251 (K01697,K10150)"
M00034	Methionine salvage pathway	Pathway	"K00789 K01611 K00797 ((K01243,K18284,K01244) K00899,K00772) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K00832,K00838)"
M00214	Methyl-galactoside transport system	Complex	K10540+K10541+K10542
M00740	Methylaspartate cycle	Pathway	K01647 K01681 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024
M00349	Microcin C transport system	Complex	K13893+K13894+K13895+K13896
M00782	"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin"	Pathway	K15959 K15960 K15961 K15963 K15964 K15965 K15966 K15967
M00189	Molybdate transport system	Complex	K02020+K02018+K02017-K05776
M00423	Molybdate/tungstate transport system	Complex	K15495+K15496+K15497
M00039	"Monolignol biosynthesis, phenylalanine/tyrosine  => monolignol"	Pathway	"(K10775,K13064) K00487 K01904 K13065 K09754 -K18368 K00588 K09753 K09755 K13066 K00083"
M00460	MprB-MprA (maintenance of persistent infection) two-component regulatory system	FuncSet	K07653 K07669
M00291	MRN complex	Complex	K10865+K10866+K10867
M00292	MRX complex	Complex	K10865+K10866+K10868
M00461	MtrB-MtrA (osmotic stress response) two-component regulatory system	FuncSet	K07654 K07670
M00700	"Multidrug resistance, efflux pump AbcA"	Signature	"(K18906,K18907) K18104"
M00647	"Multidrug resistance, efflux pump AcrAB-TolC/SmeDEF"	Signature	"(K03577,K18992,K13632,K13631,K05804,K18325,K18991) (K03585+K18138+(K18139,K12340))"
M00646	"Multidrug resistance, efflux pump AcrAD-TolC"	Signature	K07642 K07664 K03585+K18324+K12340
M00696	"Multidrug resistance, efflux pump AcrEF-TolC"	Signature	K18140 K18141+K18142+K12340
M00649	"Multidrug resistance, efflux pump AdeABC"	Signature	K18143 K18144 K18145+K18146-K18147
M00699	"Multidrug resistance, efflux pump AmeABC"	Signature	K18905 K03585+K18138+K18904
M00765	"Multidrug resistance, efflux pump Bmr"	FuncSet	K19575 K19578
M00698	"Multidrug resistance, efflux pump BpeEF-OprC"	Signature	K18900 K18901+K18902+K18903
M00710	"Multidrug resistance, efflux pump EbrAB"	Signature	K11814+K11815
M00701	"Multidrug resistance, efflux pump EmrAB"	Signature	K15974 K03543+K03446
M00768	"Multidrug resistance, efflux pump GesABC"	FuncSet	K19592 K19595+K19594+K18139
M00648	"Multidrug resistance, efflux pump MdtABC"	Signature	K07642 K07664 K07799+K07788+K07789
M00697	"Multidrug resistance, efflux pump MdtEF-TolC"	Signature	K07690 K18898+K18899+K12340
M00711	"Multidrug resistance, efflux pump MdtIJ"	Signature	K11742+K11743
M00705	"Multidrug resistance, efflux pump MepA"	Signature	K18909 K18908
M00718	"Multidrug resistance, efflux pump MexAB-OprM"	Signature	K18131 K03585+K18138+K18139
M00639	"Multidrug resistance, efflux pump MexCD-OprJ"	Signature	K18294 K18295+K18296-K08721
M00641	"Multidrug resistance, efflux pump MexEF-OprN"	Signature	K18297 K18298+K18299-K18300
M00642	"Multidrug resistance, efflux pump MexJK-OprM"	Signature	K18301 K18302+K18303-K18139
M00769	"Multidrug resistance, efflux pump MexPQ-OpmE"	Signature	K18304 K19591 K19595+K19594+K19593
M00643	"Multidrug resistance, efflux pump MexXY-OprM"	Signature	K18129 K18094+K18095+K18139
M00717	"Multidrug resistance, efflux pump NorA"	Signature	"(K18940 K18941,K18906) K08153"
M00702	"Multidrug resistance, efflux pump NorB"	Signature	"(K18906,K18907) K08170"
M00767	"Multidrug resistance, efflux pump OqxAB"	FuncSet	K05804 K19587 K19586+K19585
M00714	"Multidrug resistance, efflux pump QacA"	Signature	K18938 K08167
M00645	"Multidrug resistance, efflux pump SmeABC"	Signature	K07642 K07664 K18321+K18322+K18323
M00720	"Multidrug resistance, efflux pump VexEF-TolC"	Signature	K18989+K18990+K12340
M00712	"Multidrug resistance, efflux pump YkkCD"	Signature	K18924+K18925
M00706	"Multidrug resistance, EfrAB transporter"	Signature	K18887+K18888
M00708	"Multidrug resistance, PatAB transporter"	Signature	K18891+K18892
M00746	"Multidrug resistance, repression of porin OmpF"	Signature	K13632 K18513 K09476
M00707	"Multidrug resistance, SmdAB/MdlAB transporter"	Signature	K18889+K18890
M00298	Multidrug/hemolysin transport system	Complex	K11051+K11050
M00329	Multiple protein transport system	Complex	K12539+K12540
M00216	Multiple sugar transport system	Complex	K10546+K10547+K10548
M00606	"N,N-Diacetylchitobiose transport system"	Complex	K17329+K17330+K17331+K10112
M00205	N-Acetylglucosamine transport system	Complex	K10200+K10201+K10202
M00075	"N-glycan biosynthesis, complex type"	Pathway	"K01231 K00736  K00737  K00738 (K00744,K09661) K13748  K00717 (K07966,K07967,K07968) (K00778,K00779)"
M00074	"N-glycan biosynthesis, high-mannose type"	Pathway	K05546 K01230 K05528 K05529+K05530 K05529+K05531+K05532+K05533+K05534 K05535
M00055	N-glycan precursor biosynthesis	Pathway	K01001 (K07432+K07441) K03842 K03843 K03844 K03845 K03846 K03847 K03846 K00729 K03848 K03849 K03850
M00073	N-glycan precursor trimming	Pathway	K01228 K05546 K01230
M00072	N-glycosylation by oligosaccharyltransferase	Pathway	K07151+K12666+K12667+K12668+K12669+K12670-K00730-K12691
M00115	"NAD biosynthesis, aspartate => NAD"	Pathway	"K00278 K03517 K00767 (K00969,K06210) (K01916,K01950)"
M00145	"NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria"	Complex	K05574+K05582+K05581+K05579+K05572+K05580+K05578+K05576+K05577+K05575+K05573-K05583-K05584-K05585
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Complex	K03945+K03946+K03947+K03948+K03949+K03950+K03951+K03952+K03953+K03954+K03955+K03956+K11352+K11353
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	Complex	K03957+K03958+K03959+K03960+K03961+K03962+K03963+K03964+K03965+K03966+K11351+K03967+K03968
M00143	"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria"	Complex	K03934+K03935+K03936+K03937+K03938+K03939+K03940+K03941+K03942+K03943-K03944
M00144	"NADH:quinone oxidoreductase, prokaryotes"	Complex	"K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+K00337+K00338+K00339+K00340+(K00341+K00342,K15863)+K00343"
M00142	"NADH:ubiquinone oxidoreductase, mitochondria"	Complex	K03878+K03879+K03880+K03881+K03882+K03883+K03884
M00534	"Naphthalene degradation, naphthalene => salicylate"	Pathway	K14579+K14580+K14578+K14581 K14582 K14583 K14584 K14585 K00152
M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	FuncSet	K07674 K07685
M00471	NarX-NarL (nitrate respiration) two-component regulatory system	FuncSet	K07673 K07684
M00494	NatK-NatR (sodium extrusion) two-component regulatory system	FuncSet	K11640 K11641
M00466	NblS-NblR (photosynthesis) two-component regulatory system	FuncSet	K07769 K11332
M00322	Neutral amino acid transport system	Complex	K11954+K11955+K11956+K11957+K11958
M00246	Nickel transport system	Complex	"(K16915,K02009)-K10094+K02008+K02007+K02006"
M00440	Nickel transport system	Complex	K15584+K15585+K15586+K15587+K10824
M00622	"Nicotinate degradation, nicotinate => fumarate"	Pathway	K18029+K18030 K14974 K18028 K15357 K13995 K01799
M00754	"Nisin resistance, phage shock protein homolog LiaH"	Signature	K11617 K11618 K11619+K11620
M00615	Nitrate assimilation	Signature	"(K02575,M00438) M00531"
M00438	Nitrate/nitrite transport system	Complex	K15576+K15577+K15578-K15579
M00528	"Nitrification, ammonia => nitrite"	Pathway	(K10944+K10945+K10946) K10535
M00175	"Nitrogen fixation, nitrogen => ammonia"	Pathway	K02588+K02586+K02591-K00531
M00188	NitT/TauT family transport system	Complex	K02051+K02050+K02049
M00736	"Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A"	Pathway	K19102+K19103+K05375 K19104 K19105 K19106
M00664	Nodulation	Signature	K14658 K14659 K14666 K14657
M00781	"Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone"	Pathway	K15941 K15942 K15943 K15944
M00309	"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate"	Pathway	"K05308 (K11395,K18127) (K18020+K18021+K18022,K18128,K03738)"
M00682	Notch signaling	Pathway	"(K06051,K06059,(K06170+(K04505,K04522,K06060)+K06171+K06172)) K02599 K06053"
M00483	NreB-NreC (dissimilatory nitrate/nitrite reduction) two-component regulatory system	FuncSet	K07683 K07696
M00464	NrsS-NrsR (nickel tolerance) two-component regulatory system	FuncSet	K11328 K11330
M00498	NtrY-NtrX (nitrogen regulation) two-component regulatory system	FuncSet	K13598 K13599
M00427	Nuclear pore complex	Complex	K09291+K14295+K14296+K03345+K14297+K14298+K14004+K14299+K14300+K14301+K14302+K14303+K14304+K14305+K14306+K14307+K14308+K14309+K14310+K14311+K14312+K14313+K14314+K14315+K14316+K14317+K14318+K12172+K14319+K10577+K12160+K14320+K14321
M00361	"Nucleotide sugar biosynthesis, eukaryotes"	FuncSet	"K00963 K01784 K00972 K00012 K08678 (K00966,K00971)"
M00554	"Nucleotide sugar biosynthesis, galactose => UDP-galactose"	Pathway	K00849 K00965
M00549	"Nucleotide sugar biosynthesis, glucose => UDP-glucose"	Pathway	"(K00844,K00845,K12407,K00886) K01835 K00963"
M00362	"Nucleotide sugar biosynthesis, prokaryotes"	FuncSet	"K00963 K00965 (K01784,K17716) (K00972,K04042,K11528) K01791 K00012 (K00966,K00971,K16011,K16881)"
M00056	"O-glycan biosynthesis, mucin type core"	Pathway	"K00710 (K00731,K09653) (K00727,K09662,K09663) K00739"
M00231	Octopine/nopaline transport system	Complex	K10018+K10019+K10020+K10021
M00775	"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin"	Pathway	K16007 K16008 K16009 K13320 K16010
M00634	Oleandomycin transport system	Complex	K18233+K18232
M00202	Oligogalacturonide transport system	Complex	K10192+K10193+K10194-K10195
M00439	Oligopeptide transport system	Complex	K15580+K15581+K15582+K15583+K10823
